hhid,psuid,loc,pline,fline,v001,v002,v003,v004,v005,v006,v007a,v007b,v007c,v008
233,13,urban,138.7,88.768,75.81955565691892,11,6,1,0,0,1,78,0,0
234,13,urban,138.7,88.768,172.9585705678917,4,0,1,0,2,1,76,1,0
235,14,urban,138.7,88.768,169.3105240534005,2,0,0,0,1,1,59,1,0
236,14,urban,138.7,88.768,172.5532320662815,6,1,0,0,3,0,63,6,0
237,14,urban,138.7,88.768,437.8648851580439,3,0,0,0,2,0,48,6,0
238,14,urban,138.7,88.768,171.1424013083387,10,5,0,0,2,1,60,3,0
239,14,urban,138.7,88.768,132.0022294965143,6,2,0,0,2,0,60,2,0
240,14,urban,138.7,88.768,156.6260469522342,5,0,0,0,3,0,55,6,0
241,14,urban,138.7,88.768,90.17743488716609,2,0,2,0,0,0,78,6,0
242,14,urban,138.7,88.768,168.5097773920905,6,2,0,0,1,0,43,4,0
243,14,urban,138.7,88.768,185.2207373103647,6,2,0,0,3,0,62,6,0
244,14,urban,138.7,88.768,213.3782217969366,4,0,0,2,1,0,57,6,0
245,14,urban,138.7,88.768,202.0030151387218,3,0,1,0,1,1,56,6,0
246,14,urban,138.7,88.768,129.3941606075351,3,0,1,0,1,0,80,6,0
247,14,urban,138.7,88.768,268.1047272597245,6,2,1,0,3,0,70,6,0
248,14,urban,138.7,88.768,86.49147252174478,7,3,1,0,1,0,69,3,0
249,14,urban,138.7,88.768,467.7461867244032,5,1,0,0,2,0,46,4,0
250,14,urban,138.7,88.768,257.3366857794597,6,2,0,0,3,1,57,6,0
251,14,urban,138.7,88.768,203.9579383575119,4,0,0,0,2,0,57,6,0
252,14,urban,138.7,88.768,200.5141860588656,5,0,0,1,2,0,53,4,0
253,15,urban,138.7,88.768,128.7838959592312,2,0,2,0,0,1,78,0,0
254,15,urban,138.7,88.768,159.242601769755,5,0,1,0,0,0,54,4,0
255,15,urban,138.7,88.768,141.1634212879166,6,2,1,0,2,0,65,6,0
256,15,urban,138.7,88.768,203.9717054224329,4,2,0,1,0,0,35,6,0
257,15,urban,138.7,88.768,99.29602776866915,8,2,1,0,1,0,47,6,0
258,15,urban,138.7,88.768,72.6368851781243,2,0,0,0,1,0,50,5,0
259,15,urban,138.7,88.768,113.9443541118652,3,2,0,0,0,1,36,3,0
260,15,urban,138.7,88.768,215.3767031063785,4,2,0,0,1,0,38,6,0
261,15,urban,138.7,88.768,397.9548410206669,3,0,1,0,1,1,89,6,0
262,15,urban,138.7,88.768,414.9792061406628,5,2,0,0,2,0,44,6,0
263,15,urban,138.7,88.768,469.7052619676256,5,3,0,0,1,0,36,6,0
264,15,urban,138.7,88.768,119.4999290314838,2,0,2,0,0,0,75,6,0
265,15,urban,138.7,88.768,98.34248298653907,9,4,0,0,3,0,49,6,0
266,15,urban,138.7,88.768,367.5409280155412,3,1,0,0,1,0,63,4,0
267,15,urban,138.7,88.768,280.2347000870102,4,2,0,0,1,0,32,6,0
268,15,urban,138.7,88.768,84.16343927463521,5,3,0,0,1,0,37,3,0
269,15,urban,138.7,88.768,440.0432410698151,3,0,0,0,2,0,47,6,0
270,15,urban,138.7,88.768,214.4267756268256,3,0,0,1,3,0,50,3,0
271,16,urban,138.7,88.768,95.24949243159004,10,5,0,0,1,0,36,6,0
272,16,urban,138.7,88.768,359.9945111863688,2,0,0,0,0,1,61,3,0
273,16,urban,138.7,88.768,177.8235353455687,5,1,1,0,2,0,73,1,6
274,16,urban,138.7,88.768,167.0388229276728,5,3,0,1,1,1,63,2,3
275,16,urban,138.7,88.768,185.5642368646245,4,2,0,0,0,0,31,6,0
276,16,urban,138.7,88.768,138.0118918689389,5,1,1,0,1,0,72,6,15
277,16,urban,138.7,88.768,123.7370253729251,4,2,0,1,0,0,39,5,0
278,16,urban,138.7,88.768,109.2409830798189,6,1,0,1,3,0,53,6,0
279,16,urban,138.7,88.768,73.35405146168952,9,3,1,1,1,0,67,2,6
280,16,urban,138.7,88.768,85.01395801327729,9,2,0,0,3,0,53,3,0
281,16,urban,138.7,88.768,304.7314272214458,5,0,1,0,3,0,70,3,0
282,16,urban,138.7,88.768,211.6652378174149,4,0,0,0,3,0,48,6,0
283,16,urban,138.7,88.768,252.3234224246599,11,2,0,1,2,0,54,3,7
284,16,urban,138.7,88.768,413.6064140087864,4,0,0,0,0,0,56,3,0
285,16,urban,138.7,88.768,84.08869088280153,5,3,0,0,2,1,36,3,0
286,16,urban,138.7,88.768,139.9196459636552,8,2,0,0,3,0,55,6,0
287,16,urban,138.7,88.768,56.41422940375339,21,10,0,0,2,1,56,2,0
288,16,urban,138.7,88.768,90.79040781053642,8,2,0,0,1,0,55,6,0
289,17,urban,138.7,88.768,59.15008158852602,4,2,0,0,0,1,39,2,0
